id,label,t1,t2,article_number
H21-20-2,Y,"
Article 467
(1) The assignment of a claim (including the assignment of a claim that is yet to arise) may not be duly asserted against the applicable obligor or any other third party, unless the assignor gives notice thereof to the obligor or the obligor has consented to the same.
(2) Notice or consent as referred to in the preceding paragraph may not be duly asserted against a third party other than the obligor unless the notice or the consent is made using an instrument bearing a certified date..
","
If an obligor acknowledges assignment of a claim  vis-a-vis either the assigner or the assignee, the assignee may raise the assignment as a defense against the obligor.
",467
H21-20-4,N,"
Article 468
(1) An obligor may duly assert against the assignee any event that has taken place with regard to the assignor by the time of completion of the perfection.
(2) For the purpose of the application of the provisions of the preceding paragraph in the case referred to in Article 466, paragraph (4), the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when a reasonable period of time referred to in Article 466, paragraph (4) has elapsed""; and to apply the provisions of that paragraph in the case referred to in Article 466-3, the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when the obligor receives a request from the assignee referred to in Article 466-3 to make a deposit with an official depository pursuant to the provisions of that Article""..
","
If an obligor has given an acknowledgement without objection  to the assignor of a claim, even if the claim was satisfied, he/she may not refuse the performance of the obligation vis-a-vis the assignee, but may demand the return of the payment money vis-a-vis the assignor.
",468
H21-21-1,N,"
Article 478
Performance made to a person that does not constitute a person authorized to accept the performance (meaning the obligee or a third party authorized to accept performance based on the provisions of laws and regulations or the manifestation of intention of the parties; the same applies hereinafter) but that appears to be the person authorized to accept the performance in light of common sense in the transaction is effective only if the person effecting performance was acting in good faith and without negligence.
Article 479
Except as provided in the preceding Article, any performance made to a person other than the person with right to performance is effective only to the extent that the obligee is enriched as a result thereof..
","
Any performance vis-a-vis a person that has no authority to receive the payment has no effect vis-a-vis the creditor, except in cases where it has an effect as a payment vis-a-vis a holder of quasi-possession  of the claim.
",478|479
H21-21-3,N,"
Article 487
If there is an instrument evidencing a claim and the person making the performance has made full performance, that person may demand the return of the instrument..
","
In cases where there is any instrument which evidences the claim for wages, the borrower may assert the fact that he/she will make a payment by returning and exchanging the instrument when attempting to make the performance has completed his/her entire performance.
",487
H21-21-4,N,"
Article 481
(1) If a third party obligor of a claim that has been attached performs the obligation to that third party's own obligee, the attaching obligee is entitled to request the third party obligor to perform the obligation de novo to the extent of the damage sustained by the attaching obligee.
(2) The provisions of the preceding paragraph do not preclude the relevant third party obligor from exercising the right to reimbursement from the obligee..
","
If a third party obligor who has been enjoined from making payment has paid his/her obligation to his/her own obligee, the relevant obligee shall not entitled to request such third party obligor to make payment, even to the extent he/she suffered the damages.
",481
H21-21-5,N,"
Article 485
Unless a particular intention is manifested with respect to the expenses of performance, those expenses are borne by the obligor;provided, however, that if the obligee caused the expenses of performance to increase by relocating the domicile thereof or taking any other act, the amount of increase due to this is borne by the obligee..
","
Unless  any other intention is manifested with respect to the expense of performance, such expenses shall be borne by the obligee, but in cases the relevant obligor caused the expense of performance to increase by relocating his/her domicile or taking any other acrtions, such incremental amount shall be borne by the  obligor.
",485
H21-22-5,N,"
Article 508
If a claim extinguished by prescription was eligible for set-off prior to its extinguishment, the obligee may use that claim for the set-off..
","
In cases where an active claim extinguished due to prescription, set-off may not be performed, but the adverse party may abandon the benefits of prescription and effect the set-off.
",508
H21-24-A,Y,"
Article 550
Gifts not in writing may be cancelled by either party;provided, however, that this does not apply to a portion of the gift for which performance has been completed..
","
Either the donor or the donee may revoke gifts not in writing. However, that this shall not apply for any portion of the gift for which performance has been completed.
",550
H21-24-I,N,"
Article 643
A mandate becomes effective when a first party asks a second party with performing a juridical act, and the second party accepts this..
","
Since a mandate contract is a consensual contract, it shall be effective if there is an oral agreement. However, in order to assert the effect of a mandate contract to a third party, it must be documented in writing.
",643
H21-24-E,Y,"
Article 176
The creation and transfer of a real right becomes effective solely by the manifestations of intention of the parties.
Article 177
Acquisitions of, losses of and changes in real rights on immovables may not be duly asserted against any third parties, unless the same are registered pursuant to the applicable provisions of the Real Property Registration Act (Act No. 123 of 2004) and other laws regarding registration..
","
If a mortgage creation contract has the agreement of the mortgagee and of the mortgagor that has ownership of the subject matter of the mortgage, it will be effective even if it is not in writing and there is no registration of its creation.
",176|177
H21-24-O,N,"
Article 446
(1) A guarantor has the responsibility to perform the obligation of the principal obligor when the latter fails to perform that obligation.
(2) No guarantee contract becomes effective unless it is made in writing.
(3) If a guarantee contract is concluded by electronic or magnetic record which records the terms thereof, the guarantee contract is deemed to be made in writing, and the provisions of the preceding paragraph apply..
","
A guarantor may revoke a contract of guarantee that is not in writing. However, this shall not apply for the portion that has been performed.
",446
H21-25-3,N,"
Article 702
(1) If a manager has incurred beneficial expenses for a principal, the manager may claim reimbursement of those costs from the principal.
(2) The provisions of Article 650, paragraph (2) apply mutatis mutandis if a manager has incurred beneficial obligations on behalf of the principal.
(3) If a manager has engaged in the benevolent intervention in another's business against the will of the principal, the provisions of the preceding two paragraphs apply mutatis mutandis, solely to the extent currently enriched..
","
A person who commences the management of a business for another person without being obliged to do so may not demand compensation from the principal, even if he/she expends useful expenses for the principal, when that management is against the intention of the principal.
",702
H21-25-4,Y,"
Article 474
(1) A third party may also perform an obligation.
(2) A third party that has no legitimate interest in performing an obligation may not perform the obligation against the will of the obligor;provided, however, that this does not apply if the obligee did not know that the performance is against the will of the obligor.
(3) The third party prescribed in the preceding paragraph may not perform the obligation against the will of the obligee;provided, however, that this does not apply if the third party performs the obligation as requested by the obligor, and the obligee knew this.
(4) The provisions of the preceding three paragraphs do not apply if the nature of an obligation does not permit the performance by a third party or if a party manifests the intention to prohibit or restrict the performance by a third party..
","
A third party who has no interest in an obligation may not perform the obligation against the will of the obligor.
",474
H21-25-5,N,"
Article 462
(1) The provisions of Article 459-2, paragraph (1) apply mutatis mutandis if a person, that has given guarantee without the request of the principal obligor, performs an act for extinguishment of obligation.
(2) A person that has become a guarantor against the will of the principal obligor has the right to reimbursement only to the extent currently enriched.In this case, if the principal obligor asserts to have grounds for set-off against the obligee prior to the day of the demand for reimbursement, the guarantor may demand that the obligee perform the obligation which would have been extinguished by that set-off.
(3) The provisions of Article 459-2, paragraph (3) apply mutatis mutandis to the exercise of the right to reimbursement if the guarantor referred to in the preceding two paragraphs performs an act for extinguishment of obligation before the due date of the principal obligation..
","
A third party who has no interest in an obligation may not guarantee an obligation against the will of the obligor.
",462
H21-26-A,Y,"
Article 541
If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract;provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.
Article 542
(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(i) if the performance of the whole of the obligation is impossible;
(ii) if the obligor unequivocally manifests the intention to refuse to perform the obligation in whole;
(iii) if the performance of part of the obligation is impossible, or if the obligor clearly manifests the intention to refuse to perform part of the obligation and the purpose of the contract cannot be achieved by the performance of the remaining part of the obligation;
(iv) if, due to the nature of the contract or a manifestation of intention by the parties, the purpose of the contract cannot be achieved unless the obligation is performed at a specific time on a specific date or within a certain period of time, and the obligor fails to perform the obligation at that time or before that period of time expires; or
(v) beyond the cases set forth in the preceding items, if the obligor does not perform the obligation and it is obvious that the obligor is unlikely to perform the obligation to the extent necessary to achieve the purpose of the contract even if the obligee makes the demand referred to in the preceding Article.
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:
(i) the performance of the part of the obligation is impossible; or
(ii) the obligor clearly manifests the intention to refuse to perform the part of the obligation.
Article 559
The provisions of this Section apply mutatis mutandis to contracts for value other than contracts for sale;provided, however, that this does not apply when it is not permitted by the nature of the contract for value.
Article 564
The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415
or exercising the right to cancel pursuant to the provisions of Articles 541 and 542..
","
If a building that is the subject matter of a job in a building contract has any defect, and  the purpose of the contract cannot be achieved because of the defect, the party ordering the work may cancel the contract for that reason.
",541|542|559|564
H21-26-U,Y,"
Article 620
If a lease is cancelled, the cancellation becomes effective solely toward the future. In such a case, the cancellation does not preclude a claim for compensation for loss or damage.
Article 684
The provisions of Article 620
apply mutatis mutandis to partnership contracts..
","
The cancellation of a partnership contract  shall solely become effective toward the future.
",620|684
H21-26-O,N,"
Article 545
(1) If one of the parties exercises the right to cancel, each party assumes an obligation to restore the other party to that other party's original state;provided, however, that this may not prejudice the rights of a third party.
(2) In the case referred to in the main clause of the preceding paragraph, if any monies are to be refunded, interest must accrue from the time of the receipt of those monies.
(3) In the case referred to in the main clause of paragraph (1), if a thing other than money is to be returned, fruits that have accrued on or after the time of the receipt of the thing must also be returned.
(4) The exercise of the right to cancel does not preclude claims for compensation for loss or damage..
","
If after a sales contract for moveables is entered and a portion of the purchase price is paid, the sales contract is cancelled due to default of the seller, then he/she bears an obligation to compensate the buyer for damages, but in returning the portion of the purchase price that was received, there is no need to add interest from the time of that receipt of those moneys.
",545
H21-27-O,N,"
Article 95
(1) A manifestation of intention is voidable if it is based on either of the following mistakes, and the mistake is material in light of the purpose of the juridical act and the common sense in the transaction:
(i) a mistake wherein the person lacks the intention that corresponds to the manifestation of intention; or
(ii) a mistake wherein the person making the manifestation of intention holds an understandings that does not correspond to the truth with regard to the circumstances which the person has taken as the basis for the juridical act.
(2) A manifestation of intention under the provisions of item (ii) of the preceding paragraph may be rescinded only if it has been indicated that the circumstances in question are being taken as the basis for the juridical act.
(3) If a mistake is due to gross negligence on the part of the person making the manifestation of intention, that person may not rescind a manifestation of intention as under paragraph (1), except in the following cases:
(i) if the other party knew, or did not know due to gross negligence, of the mistake on the part of the person making the manifestation of intention; or
(ii) if the other party was under the same mistake as the person making the manifestation of intention.
(4) The rescission of a manifestation of intention under the provisions of paragraph (1) may not be duly asserted against a third party in good faith acting without negligence..
","
In cases where person C was unaware that the ownership of real property L belonged to person A at the time of the execution of the sales contract between person B and person C, since person C is mistaken regarding an essential element of the sales contract, and the contract is not effective, person B bears no obligation to acquire ownership from person A and transfer it to person C.
",95
H21-29-A,Y,"
Article 327
(1) Statutory lien for construction work for immovables exists, with respect to immovables, in connection with the expenses of construction work performed by a person that designs, constructs or supervises construction regarding the immovables of the obligor.
(2) The statutory liens referred to in the preceding paragraph exist with respect to the relevant increased value alone, but only if there is a current increase in the value of the immovables resulting from the construction work..
","
Provisions for statutory liens for real property construction are established in the Civil Code.
",327
H19-1-3,N,"
Article 96
(1) A manifestation of intention based on fraud or duress is voidable.
(2) If a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) The rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence..
","
A person who made a manifestation of intention which was induced by duress emanated from a third party may rescind such manifestation of intention on the basis of duress, only if the other party knew or was negligent of such fact.
",96
